City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
502,Adra,ES,78.39,clear sky,36.7496,-3.0206,Hostal Zapata
505,Celestun,MX,82.09,overcast clouds,20.8667,-90.4,Posada Lilia
506,Sungaipenuh,ID,75.06,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
516,Paciran,ID,82.98,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
517,Helong,CN,83.89,overcast clouds,42.5397,128.9972,Helong Hotel
521,Nikolayevsk-Na-Amure,RU,76.78,broken clouds,53.1406,140.73,Mini-hotel «Quiet Harbor»
524,Callaguip,PH,87.82,broken clouds,18.0714,120.4867,Pangil Beach Resort
525,Mahibadhoo,MV,82.06,broken clouds,3.7833,72.9667,Omadhoo Inn
527,Umm Lajj,SA,84.81,broken clouds,25.0213,37.2685,Moon light Furnished Units
538,Baghdad,IQ,84.11,clear sky,33.3406,44.4009,Baghdad Hotel
539,Obidos,BR,78.39,broken clouds,-1.9175,-55.5181,Hotel Amazônia Center
543,Urucara,BR,75.87,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
546,Rameswaram,IN,80.96,scattered clouds,9.2833,79.3,Daiwik Hotels Rameswaram
551,Puerto Colombia,CO,80.82,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
553,Ankang,CN,84.11,few clouds,32.68,109.0172,安琪酒店
554,Yatou,CN,77.36,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
555,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
556,Arlit,NE,88.72,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
558,Ambon,ID,80.74,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
559,Mihijam,IN,86.74,overcast clouds,23.8526,86.8788,Utsav Lodge & Marriage Hall
562,Manicore,BR,77.45,clear sky,-5.8092,-61.3003,Hotel Durval
568,Kamaishi,JP,78.76,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
570,Jalu,LY,79.86,clear sky,29.0331,21.5482,صاحبة الفخامة
574,Lodwar,KE,77.36,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
576,Takoradi,GH,75.42,overcast clouds,4.8845,-1.7554,Raybow International Hotel
579,Lincoln,US,83.28,broken clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
589,Mantua,IT,75.81,clear sky,45.1667,10.7833,Hotel la Favorita
594,Hun,LY,77.72,clear sky,29.1268,15.9477,Alrwasi Hotel
597,Tual,ID,79.02,broken clouds,-5.6667,132.75,Grand Vilia Hotel
599,Iracoubo,GF,77.31,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
601,Tautira,PF,76.98,light rain,-17.7333,-149.15,Pension Oaoa
603,Bambanglipuro,ID,80.8,broken clouds,-7.95,110.2833,Puri Brata
605,Axim,GH,75.99,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
606,Singkawang,ID,81.95,overcast clouds,0.9,109.0,Capital O 1822 Wahana Inn
607,Warud,IN,78.19,overcast clouds,21.4667,78.2667,Ankit sonone
614,Fare,PF,78.31,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
615,Iberia,US,79.05,clear sky,29.9502,-91.7507,back to back rv park
616,Tongren,CN,85.98,overcast clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
617,Kudahuvadhoo,MV,82.4,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
619,Khapa,IN,78.75,broken clouds,21.4333,78.9667,Kanha Green Town (Farms)
622,Bacnotan,PH,85.8,overcast clouds,16.7222,120.3525,Normi's Beach Resort
627,Nichinan,JP,84.78,few clouds,31.6,131.3667,Guest House Aki
629,Morristown,US,79.5,clear sky,36.214,-83.2949,Days Inn by Wyndham Morristown
645,Pangkalanbuun,ID,80.6,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
652,Kieta,PG,85.91,few clouds,-6.2167,155.6333,Uruna Bay Retreat
654,Kirakira,SB,84.43,overcast clouds,-10.4544,161.9205,SanBiz Lodge
655,Honiara,SB,86.88,overcast clouds,-9.4333,159.95,Heritage Park Hotel
659,Bodden Town,KY,84.0,few clouds,19.2833,-81.25,Will T Place
662,Jiwani,PK,82.31,overcast clouds,25.05,61.7417,Hamza hotel jiwani
664,Labuhan,ID,82.65,overcast clouds,-6.8844,112.2051,DoubleFAG
665,Guilin,CN,87.4,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
667,Meiktila,MM,86.95,clear sky,20.8667,95.8667,The Floral Breeze Wunzin Hotel
668,Islamkot,PK,80.96,overcast clouds,24.6997,70.177,Haji Hotel
669,Aquin,HT,77.92,broken clouds,18.2833,-73.4,Asheev Beach
671,Bud,US,77.32,broken clouds,39.447,-86.1758,Ted McQuinn Trust
673,Toba,JP,82.4,broken clouds,34.4833,136.85,ホテル アルティア鳥羽
675,Xifeng,CN,83.17,overcast clouds,42.7372,124.7222,Home Inn Hotel
677,Coahuayana,MX,79.59,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
678,Sur,OM,80.47,broken clouds,22.5667,59.5289,Sur Plaza Hotel
683,Batticaloa,LK,79.47,overcast clouds,7.7102,81.6924,Grand Star Guest House
